program,year,duration_sec,device,browser,os,ip,date,resp_id,source,satisf_overall,satisf_teachers,expect_match,fac_support_score,fac_support_imp,fac_clarity_score,fac_clarity_imp,cur_timely_score,cur_timely_imp,cur_help_score,cur_help_imp,cur_comment,prog_clarity_score,prog_clarity_imp,prog_deadlines_score,prog_deadlines_imp,prog_relevance_score,prog_relevance_imp,prog_workload_score,prog_workload_imp,prog_comment,coord_respect_score,coord_respect_imp,coord_results_score,coord_results_imp,coord_timely_score,coord_timely_imp,coord_help_score,coord_help_imp,coord_comment,assess_criteria_timely,assess_order_clear,assess_consistent,assess_comment,fac_comment,gen_ed_critical_thinking,gen_ed_history,gen_ed_foreign_lang,gen_ed_safety,gen_ed_statehood,seminar_comment,infra_library,infra_wellbeing,infra_food,infra_software,infra_equipment,infra_classrooms,infra_workshops,nps,comment_final,hum_critical_thinking,hum_history,hum_statehood,hum_foreign_lang,prev_sem_relevance,postgrad_masters,postgrad_same_field,postgrad_other_field,postgrad_other,hum_philosophy,hum_communication,skill_confidence,school
Foundation Art and Design,1 курс,231,Компьютер,Google Chrome,Windows 10,109.252.107.38,01.03.2026 18:49:58,31,Прямая ссылка,2.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,,2.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,,3.0,3.0,2.0,,,,,,,,,4.0,2.0,1.0,3.0,3.0,1.0,1.0,6.0,,,,,,,,,,,,,,БВШД
Анимация,1 курс,664,Телефон,Google Chrome,Android,213.87.132.18,16.02.2026 17:40:37,1,Прямая ссылка,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,"В u кафе маловато мест, поэтому бывали ситуации, когда мы шли поесть в другое место или просили стулья у студентов ",,,,,,,,,,,,,Scream
Анимация,1 курс,442,Телефон,Safari,iPhone,94.154.156.186,17.02.2026 10:54:58,2,Прямая ссылка,2.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,4.0,,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,,3.0,4.0,4.0,,,,,,,,,4.0,4.0,4.0,3.0,3.0,2.0,3.0,8.0,"Расписание факультета анимации первого курса вызывает вопросы - об изменении расписания сообщают несвоевременно, по какой-то причине студенты должны на очные пары приезжать на выходных, тогда как в будние дни пары заочные, казалось бы логичным в таком случае сделать все занятия заочными. Количество пар по анимации тоже вызывает вопросы",,,,,,,,,,,,,Scream
Артист драматического театра и кино,1 курс,380,Телефон,Safari,iPhone,95.153.182.64,16.02.2026 17:46:35,1,Прямая ссылка,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,3.0,2.0,1.0,,,,,,,,,3.0,4.0,4.0,2.0,3.0,4.0,1.0,5.0,,,,,,,,,,,,,,МШК
Архитектура и градостроительство,3 курс,267,Компьютер,Google Chrome,Windows 10,185.84.40.211,16.02.2026 17:18:34,1,Прямая ссылка,3.0,3.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,3.0,4.0,,,,,,,,,3.0,3.0,1.0,3.0,2.0,4.0,4.0,10.0,,,,,,,,,,,,,3.0,МАРШ
Архитектура и градостроительство,3 курс,326,Телефон,Safari,iPhone,213.87.162.153,16.02.2026 17:19:44,2,Прямая ссылка,3.0,4.0,,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,"Я честно не знаю, какой отдел ответственен за это, но очень мешало, что расписание на (уже этот) семестр менялось несколько раз без предупреждения. Это сильно мешало, тк я (и не только я) выстраивала свое рабочее расписание в соответствии с учебным, и мне приходилось делать перестановки в неподходящие моменты",4.0,4.0,4.0,,,,,,,,,4.0,,1.0,4.0,4.0,4.0,4.0,10.0,,,,,,,,,,,,,3.0,МАРШ
Архитектура и градостроительство,1 курс,583,Телефон,Safari,iPhone,128.71.113.197,16.02.2026 17:23:31,3,Прямая ссылка,3.0,,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,,3.0,3.0,3.0,,,,,,,,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,7.0,Юнит тесты слишком обязательны ,,,,,,,,,,,,,МАРШ
Архитектура и градостроительство,1 курс,613,Телефон,Safari,iPhone,213.87.154.157,16.02.2026 17:24:07,4,Прямая ссылка,3.0,,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,4.0,4.0,4.0,4.0,3.0,3.0,3.0,9.0,,,,,,,,,,,,,,МАРШ
Архитектура и градостроительство,1 курс,294,Телефон,Safari,iPhone,85.198.81.63,16.02.2026 17:24:27,5,Прямая ссылка,3.0,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,,2.0,3.0,4.0,,,,,,,,,4.0,4.0,3.0,3.0,4.0,4.0,4.0,10.0,,,,,,,,,,,,,,МАРШ
Архитектура и градостроительство,5 курс,312,Телефон,Safari,iPhone,79.139.220.14,16.02.2026 17:37:24,6,Прямая ссылка,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,,3.0,4.0,1.0,3.0,2.0,4.0,4.0,4.0,,2.0,2.0,1.0,3.0,3.0,4.0,2.0,4.0,,4.0,3.0,4.0,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,,,,,,,,Работа в выбранной сфере,,,,,,МАРШ
